区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,美术馆后街 ,1室1厅,50.27,598,118958,房本满五年,南,精装,有电梯,顶层(共13层)1989年建塔楼,,-
,,,,,,,,,,,,
东城,东直门内大街 ,1室1厅,54.12,595,109941,房本满五年,南,其他,有电梯,高楼层(共12层)2003年建板楼,,-
,,,,,,,,,,,,
东城,青龙胡同 ,1室1厅,45.34,500,110278,房本满五年,南北,精装,无,顶层(共6层)1992年建板楼,,-
,,,,,,,,,,,,
东城,安定路 ,3室1厅,85.66,798,93160,房本满五年,南北,简装,有电梯,低楼层(共20层)1995年建塔楼,,-
,,,,,,,,,,,,
东城,海运仓小区 ,3室1厅,80.94,900,111194,房本满五年,南北,精装,无,高楼层(共7层)2002年建板楼,,-
,,,,,,,,,,,,
东城,交道口东大街 ,3室1厅,93.23,1180,126569,房本满五年,南北,简装,无,底层(共12层)2003年建板塔结合,,-
,,,,,,,,,,,,
东城,菊儿胡同 ,4室1厅,98.09,1180,120298,房本满五年,南北,简装,无,高楼层(共6层)1987年建板楼,,-
,,,,,,,,,,,,
东城,小羊宜宾胡同 ,3室1厅,81.31,820,100849,房本满五年,东西,简装,无电梯,高楼层(共6层)1990年建板楼,,-
,,,,,,,,,,,,
东城,仓南胡同14号院 ,3室1厅,83.51,999,119627,房本满五年,南北,精装,无,顶层(共6层)1993年建板楼,,-
,,,,,,,,,,,,
东城,新怡家园 ,3室2厅,164,2200,134147,房本满五年,南北,精装,无,低楼层(共13层)2006年建板楼,,-
,,,,,,,,,,,,
东城,悠胜美苑 ,2室1厅,44.31,550,124126,房本满五年,西北,简装,有电梯,低楼层(共20层)2002年建板塔结合,,-
,,,,,,,,,,,,
东城,安外大街 ,3室1厅,81.73,780,95437,房本满五年,东南,简装,无,高楼层(共16层)1994年建板楼,,-
,,,,,,,,,,,,
东城,东环居苑 ,2室1厅,84.02,800,95216,房本满五年,西南,精装,有电梯,中楼层(共18层)2004年建塔楼,,-
,,,,,,,,,,,,
东城,仓南胡同12号院 ,2室1厅,60.03,765,127437,房本满五年,南北,精装,无电梯,高楼层(共6层)1990年建板楼,,-
,,,,,,,,,,,,
东城,新景家园东区 ,2室1厅,73.3,800,109141,房本满五年,南北,精装,有电梯,中楼层(共17层)2005年建板塔结合,,-
,,,,,,,,,,,,
东城,海运仓小区 ,2室1厅,64.45,710,110163,房本满五年,东西,精装,有电梯,中楼层(共8层)2002年建板楼,,-
,,,,,,,,,,,,
东城,海晟名苑 ,2室1厅,94.6,1200,126850,房本满五年,西,精装,有电梯,中楼层(共22层)2003年建板塔结合,,-
,,,,,,,,,,,,
东城,西革新里124号 ,2室1厅,57.38,355,61869,房本满五年,东西,简装,无,顶层(共6层)1981年建板楼,,-
,,,,,,,,,,,,
东城,海晟名苑 ,4室2厅,247.9,3300,133119,房本满五年,南北,精装,有电梯,高楼层(共17层)2004年建板楼,,-
,,,,,,,,,,,,
东城,大方家胡同 ,2室1厅,76.42,750,98142,房本满五年,南北,简装,有电梯,低楼层(共16层)2003年建板塔结合,,-
,,,,,,,,,,,,
